lang,word_original,word_translation,word_anglo
ko,book,책,chaek
ko,cloud,구름,gureum
ko,bag,가방,gabang
ko,mouth,입,ib
ko,soil,흙,heuk
ko,mountain,산,san
ko,cloth,천,cheon
ko,heart,심장,simjang
ko,hand,손,son
ko,day,날,nal
ko,star,별,byeol
ko,spring,봄,bom
ko,moon,달,dal
ko,wood,나무,namu
ko,village,마을,ma-eul
ko,forest,숲,sup
ko,fruit,과일,gwail
ko,grid,격자,gyeokja
ko,song,노래,norae
ko,water,물,mul
ko,pond,연못,yeonmot
ko,sand,모래,morae
ko,river,강,gang
ko,law,법,beop
ko,wave,파도,pado
ko,ocean,대양,daeyang
ko,cave,동굴,donggul
ko,sea,바다,bada
ko,lake,호수,hosu
ko,source,출처,chulcheo
ko,fire,불,bul
ko,point,점,jeom
ko,version,버전,beojeon
ko,ball,공,gong
ko,painting,그림,geurim
ko,station,역,yeok
ko,rice,쌀,ssal
ko,red,빨간,ppalgan
ko,line,선,seon
ko,net,그물,geumul
ko,flower,꽃,kkot
ko,tea,차,cha
ko,foot,발,bal
ko,gold,금,geum
ko,door,문,mun
ko,snow,눈,nun
ko,horse,말,mal
ko,one,하나,hana
ko,two,둘,dul
ko,three,셋,set
ko,four,넷,net
ko,five,다섯,daseot
ko,six,여섯,yeoseot
ko,seven,일곱,ilgop
ko,eight,여덟,yeodeol
ko,nine,아홉,ahop
ko,ten,열,yeol
ko,head,머리,meori
ko,shop,가게,gage
ko,strip,띠,tti
ko,street,거리,geori
ko,part,부분,bubun
ko,eye,눈,nun
ko,field,들판,deulpan
ko,site,장소,jangso
ko,dance,춤,chum
ko,word,단어,daneo
ko,pair,쌍,ssang
ko,seat,자리,jari
ko,light,빛,bit
ko,thousand,천,cheon
ko,north,북쪽,bukjjok
ko,machine,기계,gigye
ko,time,시간,sigan
ko,benefit,혜택,hyetaek
ko,position,위치,wichi
ko,province,도,do
ko,exchange,교환,gyohwan
ko,middle,중간,junggan
ko,friend,친구,chingu
ko,color,색,saek
ko,kind,종류,jongryu
ko,judge,판사,pansa
ko,school,학교,hakgyo
ko,structure,구조,gujo
ko,tie,넥타이,nektai
ko,example,예,ye
ko,face,얼굴,eolgul
ko,bridge,다리,dari
ko,item,항목,hangmok
ko,delete,삭제,sakje
ko,group,그룹,geurup
ko,talent,재능,jaeneung
ko,beauty,아름다움,areumdawum
ko,platform,플랫폼,peullaetpeom
ko,house,집,jip
ko,sun,해,hae
ko,meeting,회의,hoeui
ko,history,역사,yeoksa
ko,valley,계곡,gyegok
ko,square,광장,gwangjang
ko,generation,세대,sedae
ko,south,남쪽,namjjok
ko,virtue,덕,deok
ko,tribe,부족,bujok
ko,city,도시,dosi
ko,language,언어,eoneo
ko,speed,속도,sokdo
ko,ground,땅,ttang
ko,advance,진보,jinbo
ko,attempt,시도,sido
ko,defeat,패배,paebae
ko,tail,꼬리,kkori
ko,mother,어머니,eomeoni
ko,east,동쪽,dongjjok
ko,return,반환,hoan
ko,speech,연설,yeonseol
ko,child,아이,ai
ko,tower,탑,tap
ko,hair,머리카락,meorikarak
ko,household,가정,gajeong
ko,person,사람,saram
ko,section,부문,bumun
ko,official,공무원,gongmuwon
ko,hundred,백,baek
ko,office,사무실,samusil
ko,rock,바위,bawi
ko,rise,상승,sangseung
ko,left,왼쪽,oenjjok
ko,sound,소리,sori
ko,power,힘,him
ko,summer,여름,yeoreum
