zh,en,fr
大,big,grand
中,middle,milieu
一,one,un
子,child,enfant
山,mountain,montagne
文,literature,littérature
新,new,nouveau
天,sky,ciel
有,have,avoir
上,up,haut
行,walk,marcher
三,three,trois
王,king,roi
年,year,an
成,become,devenir
定,decide,décider
个,individual,individu
方,direction,direction
高,high,haut
地,earth,terre
月,moon,lune
公,public,public
出,out,sortir
法,law,loi
名,name,nom
下,down,bas
社,society,société
为,for,pour
字,character,caractère
海,sea,mer
南,south,sud
西,west,ouest
平,flat,plat
式,style,style
家,home,maison
美,beautiful,beau
部,part,partie
女,woman,femme
太,too,trop
前,front,devant
金,gold,or
野,wild,sauvage
北,north,nord
安,peace,paix
我,I,je
可,can,pouvoir
取,take,prendre
理,reason,raison
自,self,soi
信,believe,croire
代,replace,remplacer
要,want,vouloir
木,wood,bois
水,water,eau
作,make,faire
事,matter,matière
表,table,table
分,divide,diviser
全,whole,entier
通,through,à travers
到,arrive,arriver
世,world,monde
果,fruit,fruit
十,ten,dix
来,come,venir
面,face,visage
街,street,rue
石,stone,pierre
能,ability,capacité
空,empty,vide
花,flower,fleur
物,thing,objet
版,edition,édition
真,true,vrai
民,people,peuple
口,mouth,bouche
示,show,montrer
图,map,carte
戦,battle,bataille
光,light,lumière
白,white,blanc
心,heart,coeur
最,most,plus
手,hand,main
建,build,construire
主,main,principal
集,collect,collecter
目,eye,oeil
度,degree,degré
星,star,étoile
五,five,cinq
重,heavy,lourd
发,hair,cheveux
史,history,histoire
駅,station,station
多,many,beaucoup
士,scholar,érudit
四,four,quatre
司,department,département
次,next,prochain
点,point,point
音,sound,son
器,device,appareil
井,well,puits
存,exist,exister
性,nature,nature
也,also,aussi
位,position,position
值,value,valeur
古,ancient,ancien
界,boundary,frontière
同,same,même
保,protect,protéger
青,blue,bleu
清,clear,clair
族,tribe,tribu
政,politics,politique
松,pine, pin
始,begin,commencer
息,breath,respirer
少,few,peu
教,teach,enseigner
列,list, liste
台,platform,plateforme
工,work,travail
知,know,savoir
八,eight,huit
画,draw,dessiner
百,hundred,cent
关,close,fermer
标,mark,marque
外,outside,extérieur
校,school,école
力,power,pouvoir
指,finger,doigt
色,color,couleur
请,please,s'il vous plaît
風,wind,vent
更,more,plus
程,process,processus
利,benefit,bénéfice
周,week,semaine
谷,valley,vallée
期,period,période
初,first,premier
福,fortune,fortune
过,pass,passer
特,special,spécial
英,hero,héros
其,its,son
流,flow,flux
除,remove,enlever
直,direct,direct
千,thousand,mille
館,building,bâtiment
朝,morning,matin
单,single,seul
德,virtue,vertu
限,limit,limite
夫,husband,mari
園,garden,jardin
土,soil,sol
放,release,relâcher
常,often,souvent
否,no,non
源,source,source
博,extensive,vaste
解,solve, résoudre
查,check,vérifier
条,strip,bande
户,household,ménage
就,just,juste
夏,summer,été
言,word,mot
先,before,avant
消,disappear,disparaître
符,symbol,symbole
已,already,déjà
容,contain,contenir
提,lift,soulever
六,six,six
火,fire,feu
佐,assistant,assistant
九,nine,neuf
向,towards,vers
堂,hall,salle
那,that,ce
务,service,service
基,base,base
属,belong,appartenir
配,match,correspondre
完,complete,complet
研,research,recherche
注,pour,verser
友,friend,ami
章,chapter,chapitre
求,seek,chercher
模,model,modèle
需,need,besoin
夜,night,nuit
或,or,ou
根,root,racine
品,product,produit
则,then,puis
株,stock,stock
记,remember,se souvenir
比,compare,comparer
七,seven,sept
術,art,art
认,recognize,reconnaître
任,responsibility,responsabilité
布,cloth, tissu
究,study,étudier
密,secret,secret
序,sequence,séquence
包,wrap,envelopper
意,meaning,signification
去,go,aller
沙,sand,sable
写,write,écrire
今,now,maintenant
湖,lake,lac
何,what,quoi
宇,universe,univers
張,stretch,étirer
例,example,exemple
鉄,iron,fer
克,overcome,surmonter
然,so,donc
服,clothes,vêtements
载,load,charger
波,wave,vague
洋,ocean,océan
球,ball,balle
支,branch,branche
送,send,envoyer
隊,team,équipe
師,teacher,enseignant
黒,black,noir
只,only,seulement
起,rise,monter
广,wide,large
因,because,parce que
康,health,santé
死,death,mort
聖,holy,sacré
車,vehicle,véhicule
按,press,presser
夢,dream,rêve
题,topic,sujet
省,save,économiser
葉,leaf,feuille
関,relation,relation
页,page, page
共,common,commun
技,skill,compétence
乐,happy,heureux
控,control,contrôler
影,shadow,ombre
管,pipe,tuyau
函,letter,lettre
尾,tail,queue
介,introduce,introduire
必,must,devoir
気,air,air
令,command,commander
左,left,gauche
若,if,si
问,ask,demander
兵,soldier,soldat
別,separate,séparer
智,wisdom,sagesse
称,call,appeler
付,attach,attacher
官,official,officiel
持,hold,tenir
親,parent,parent
址,site,site
藏,hide,cacher
草,grass,herbe
樹,tree,arbre
勝,win,gagner
足,foot,pied
业,industry,industrie
富,rich,riche
雪,snow,neige
再,again,encore
默,silent,silencieux
错,wrong,faux
岩,rock,rocher
店,store,magasin
母,mother,mère
經,experience,expérience
座,seat,siège
告,tell, dire
