zh,en,fr,de,es,ru
大,big,grand,groß,grande,большой
中,middle,milieu,Mitte,medio,середина
文,literature,littérature,Literatur,literatura,литература
新,new,nouveau,neu,nuevo,новый
有,have,avoir,haben,tener,иметь
三,three,trois,drei,tres,три
王,king,roi,König,rey,король
年,year,an,Jahr,año,год
高,high,haut,hoch,alto,высокий
法,law,loi,Recht,ley,закон
名,name,nom,Name,nombre,имя
社,society,société,Gesellschaft,sociedad,общество
为,for,pour,für,para,для
南,south,sud,Süd,sur,юг
家,home,maison,Haus,casa,дом
部,part,partie,Teil,parte,часть
女,woman,femme,Frau,mujer,женщина
太,too,trop,zu,demasiado,слишком
金,gold,or,Gold,oro,золото
北,north,nord,Nord,norte,север
我,I,je,ich,yo,я
可,can,pouvoir,können,poder,мочь
理,reason,raison,Grund,razón,причина
木,wood,bois,Holz,madera,дерево
世,world,monde,Welt,mundo,мир
街,street,rue,Straße,calle,улица
最,most,plus,meist,más,наиболее
手,hand,main,Hand,mano,рука
主,main,principal,Haupt,principal,главный
五,five,cinq,fünf,cinco,пять
多,many,beaucoup,viele,muchos,много
四,four,quatre,vier,cuatro,четыре
也,also,aussi,auch,también,также
古,ancient,ancien,alt,antiguo,древний
同,same,même,gleich,mismo,тотже
政,politics,politique,Politik,política,политика
少,few,peu,wenig,pocos,мало
工,work,travail,Arbeit,trabajo,работа
八,eight,huit,acht,ocho,восемь
力,power,pouvoir,Kraft,poder,сила
風,wind,vent,Wind,viento,ветер
更,more,plus,mehr,más,больше
特,special,spécial,besonders,especial,особенный
其,its,son,sein,su,его
夫,husband,mari,Mann,marido,муж
常,often,souvent,oft,amenudo,часто
夏,summer,été,Sommer,verano,лето
言,word,mot,Wort,palabra,слово
先,before,avant,vor,antes,до
已,already,déjà,schon,ya,уже
火,fire,feu,Feuer,fuego,огонь
向,towards,vers,nach,hacia,к
那,that,ce,das,eso,тот
友,friend,ami,Freund,amigo,друг
或,or,ou,oder,o,или
则,then,puis,dann,entonces,тогда
七,seven,sept,sieben,siete,семь
湖,lake,lac,See,lago,озеро
例,example,exemple,Beispiel,ejemplo,пример
鉄,iron,fer,Eisen,hierro,железо
然,so,donc,also,así,так
隊,team,équipe,Mannschaft,equipo,команда
只,only,seulement,nur,sólo,только
大,wide,large,weit,ancho,широкий
死,death,mort,Tod,muerte,смерть
左,left,gauche,links,izquierda,левый
若,if,si,wenn,si,если
足,foot,pied,Fuß,pie,нога
再,again,encore,wieder,otravez,снова
母,mother,mère,Mutter,madre,мать
座,seat,siège,Sitz,asiento,место
丸,round,rond,Rund,redondo,круглый
项,item,article,Artikel,artículo,предмет
员,member,membre,Mitglied,miembro,член
武,military,militaire,Militär,militar,военный
府,government,gouvernement,Regierung,gobierno,правительство
健,strong,fort,stark,fuerte,сильный
後,after,après,nach,después,после
和,and,et,und,y,и
区,district,zone,Gebiet,zona,район
在,at,à,bei,en,на
间,between,entre,zwischen,entre,между
书,book,livre,Buch,libro,книга
以,by,par,mit,por,по
市,city,ville,Stadt,ciudad,город
国,country,pays,Land,país,страна
门,door,porte,Tür,puerta,дверь
东,east,est,Ost,este,восток
田,field,champ,Feld,campo,поле
从,from,de,von,de,из
好,good,bon,gut,bueno,хорошо
群,group,groupe,Gruppe,grupo,группа
他,he,il,er,él,он
屋,house,maison,Haus,casa,дом
语,language,langue,Sprache,idioma,язык
生,life,vie,Leben,vida,жизнь
如,like,comme,wie,como,как
郎,man,homme,Mann,hombre,мужчина
不,not,ne,nicht,no,не
的,of,de,von,de,из
人,person,personne,Person,persona,человек
道,road,route,Weg,camino,дорога
見,see,voir,sehen,ver,видеть
形,shape,forme,Form,forma,форма
小,small,petit,klein,pequeño,маленький
歌,song,chanson,Lied,canción,песня
系,system,système,System,sistema,система
这,this,ce,dies,este,это
时,time,temps,Zeit,tiempo,время
町,town,ville,Stadt,pueblo,город
二,two,deux,zwei,dos,два
式,type,genre,Art,tipo,тип
君,you,tu,du,tú,ты
