zh,en,fr
华,Chinese,chinois
加,add,ajouter
后,after,après
和,and,et
现,appear,apparaître
区,area,zone
军,army,armée
在,at,à
间,between,entre
体,body,corps
书,book,livre
桥,bridge,pont
明,bright,brillant
商,business,affaires
以,by,par
计,calculate,calculer
京,capital,capitale
化,change,changer
选,choose,choisir
市,city,ville
云,cloud,nuage
码,code,code
合,combine,combiner
连,connect,connecter
正,correct,correct
国,country,pays
县,county,comté
造,create,créer
切,cut,couper
陈,display,afficher
门,door,porte
东,east,est
入,enter,entrer
设,establish,établir
超,exceed,dépasser
秀,excellent,excellent
交,exchange,échanger
田,field,champ
林,forest,forêt
从,from,de
好,good,bon
群,group,groupe
守,guard,garde
他,he,il
头,head,tête
坂,hill,colline
打,hit,frapper
望,hope,espoir
马,horse,cheval
屋,house,maison
里,inside,intérieur
洲,island,île
参,join,rejoindre
喜,joy,joie
义,justice,justice
语,language,langue
学,learn,apprendre
生,life,vie
如,like,comme
线,line,ligne
活,live,vivre
长,long,long
失,lose,perdre
愛,love,amour
机,machine,machine
男,male,mâle
郎,man,homme
测,measure,mesurer
会,meeting,réunion
动,move,bouger
网,net,réseau
无,none,aucun
不,not,ne
数,number,nombre
得,obtain,obtenir
的,of,de
老,old,vieux
开,open,ouvrir
元,origin,origine
样,pattern,modèle
人,person,personne
片,piece,pièce
所,place,endroit
拉,pull,tirer
达,reach,atteindre
实,real,réel
记,record,record
红,red,rouge
报,report,rapport
回,return,retour
江,river, rivière
道,road,route
科,section,section
看,see,voir
形,shape,forme
应,should,devoir
小,small,petit
歌,song,chanson
说,speak,parler
神,spirit,esprit
展,spread,étaler
春,spring,printemps
立,stand,debout
态,state,état
州,state,état
奇,strange,étrange
阳,sun,soleil
统,system,système
想,think,penser
这,this,ce
结,tie,noeud
时,time,temps
镇,town,ville
转,turn,tourner
二,two,deux
种,type,genre
用,use,utiliser
村,village,village
等,wait,attendre
志,will,volonté
黄,yellow,jaune
你,you,tu
