zh,en,fr,de
大,big,grand,groß
中,middle,milieu,Mitte
文,literature,littérature,Literatur
新,new,nouveau,neu
有,have,avoir,haben
三,three,trois,drei
王,king,roi,König
年,year,an,Jahr
高,high,haut,hoch
法,law,loi,Recht
名,name,nom,Name
社,society,société,Gesellschaft
为,for,pour,für
南,south,sud,Süd
家,home,maison,Haus
部,part,partie,Teil
女,woman,femme,Frau
太,too,trop,zu
金,gold,or,Gold
北,north,nord,Nord
我,I,je,ich
可,can,pouvoir,können
理,reason,raison,Grund
木,wood,bois,Holz
世,world,monde,Welt
街,street,rue,Straße
最,most,plus,meist
手,hand,main,Hand
主,main,principal,Haupt
五,five,cinq,fünf
多,many,beaucoup,viele
四,four,quatre,vier
也,also,aussi,auch
古,ancient,ancien,alt
同,same,même,gleich
政,politics,politique,Politik
少,few,peu,wenig
工,work,travail,Arbeit
八,eight,huit,acht
力,power,pouvoir,Kraft
風,wind,vent,Wind
更,more,plus,mehr
特,special,spécial,besonders
其,its,son,sein
夫,husband,mari,Mann
常,often,souvent,oft
夏,summer,été,Sommer
言,word,mot,Wort
先,before,avant,vor
已,already,déjà,schon
火,fire,feu,Feuer
向,towards,vers,nach
那,that,ce,das
友,friend,ami,Freund
或,or,ou,oder
则,then,puis,dann
七,seven,sept,sieben
湖,lake,lac,See
例,example,exemple,Beispiel
鉄,iron,fer,Eisen
然,so,donc,also
隊,team,équipe,Mannschaft
只,only,seulement,nur
广,wide,large,weit
死,death,mort,Tod
左,left,gauche,links
若,if,si,wenn
足,foot,pied,Fuß
再,again,encore,wieder
母,mother,mère,Mutter
座,seat,siège,Sitz
丸,round,rond,Rund
项,item,article,Artikel
员,member,membre,Mitglied
武,military,militaire,Militär
府,government,gouvernement,Regierung
健,strong,fort,stark
后,after,après,nach
和,and,et,und
区,area,zone,Gebiet
在,at,à,bei
间,between,entre,zwischen
书,book,livre,Buch
以,by,par,mit
市,city,ville,Stadt
国,country,pays,Land
门,door,porte,Tür
东,east,est,Ost
田,field,champ,Feld
从,from,de,von
好,good,bon,gut
群,group,groupe,Gruppe
他,he,il,er
屋,house,maison,Haus
语,language,langue,Sprache
生,life,vie,Leben
如,like,comme,wie
郎,man,homme,Mann
不,not,ne,nicht
的,of,de,von
人,person,personne,Person
道,road,route,Weg
看,see,voir,sehen
形,shape,forme,Form
小,small,petit,klein
歌,song,chanson,Lied
统,system,système,System
这,this,ce,dies
时,time,temps,Zeit
镇,town,ville,Stadt
二,two,deux,zwei
种,type,genre,Art
你,you,tu,du
