zh,en,fr
大,big,grand
中,middle,milieu
一,one,un
文,literature,littérature
新,new,nouveau
天,sky,ciel
有,have,avoir
上,up,haut
三,three,trois
王,king,roi
年,year,an
方,direction,direction
高,high,haut
地,earth,terre
公,public,public
法,law,loi
名,name,nom
下,down,bas
社,society,société
为,for,pour
海,sea,mer
南,south,sud
平,flat,plat
式,style,style
家,home,maison
部,part,partie
女,woman,femme
太,too,trop
前,front,devant
金,gold,or
北,north,nord
我,I,je
可,can,pouvoir
取,take,prendre
理,reason,raison
木,wood,bois
作,make,faire
表,table,table
世,world,monde
果,fruit,fruit
十,ten,dix
街,street,rue
空,empty,vide
物,thing,objet
版,edition,édition
图,map,carte
戦,battle,bataille
白,white,blanc
最,most,plus
手,hand,main
主,main,principal
五,five,cinq
駅,station,station
多,many,beaucoup
四,four,quatre
司,department,département
点,point,point
音,sound,son
性,nature,nature
也,also,aussi
位,position,position
古,ancient,ancien
同,same,même
政,politics,politique
少,few,peu
工,work,travail
八,eight,huit
百,hundred,cent
标,mark,marque
力,power,pouvoir
風,wind,vent
更,more,plus
期,period,période
初,first,premier
福,fortune,fortune
过,pass,passer
特,special,spécial
其,its,son
流,flow,flux
直,direct,direct
单,single,seul
夫,husband,mari
土,soil,sol
常,often,souvent
否,no,non
源,source,source
条,strip,bande
夏,summer,été
言,word,mot
先,before,avant
已,already,déjà
六,six,six
火,fire,feu
佐,assistant,assistant
向,towards,vers
那,that,ce
务,service,service
基,base,base
完,complete,complet
研,research,recherche
友,friend,ami
夜,night,nuit
或,or,ou
品,product,produit
则,then,puis
株,stock,stock
七,seven,sept
術,art,art
密,secret,secret
去,go,aller
湖,lake,lac
宇,universe,univers
例,example,exemple
鉄,iron,fer
然,so,donc
波,wave,vague
隊,team,équipe
只,only,seulement
广,wide,large
死,death,mort
题,topic,sujet
関,relation,relation
共,common,commun
尾,tail,queue
気,air,air
令,command,commander
左,left,gauche
若,if,si
官,official,officiel
持,hold,tenir
親,parent,parent
址,site,site
足,foot,pied
再,again,encore
母,mother,mère
座,seat,siège
右,right,droite
丸,round,rond
銀,silver,argent
塔,tower,tour
索,search,recherche
速,fast,rapide
项,item,article
员,member,membre
現,present,présent
微,tiny,petit
舞,dance,dans
效,effect,effet
每,each,chaque
茶,tea,thé
些,some,quelques
才,talent,talent
边,edge,bord
弘,vast,vast
给,give,donner
武,military,militaire
情,feeling,sentiment
象,image,image
府,government,gouvernement
角,angle,angle
港,port,port
景,view,vue
素,simple,simple
专,expert,expert
健,strong,fort
运,luck,chance
后,after,après
和,and,et
区,area,zone
在,at,à
间,between,entre
体,body,corps
书,book,livre
桥,bridge,pont
以,by,par
京,capital,capitale
市,city,ville
码,code,code
正,correct,correct
国,country,pays
门,door,porte
东,east,est
秀,excellent,excellent
田,field,champ
从,from,de
好,good,bon
群,group,groupe
他,he,il
头,head,tête
马,horse,cheval
屋,house,maison
义,justice,justice
语,language,langue
生,life,vie
如,like,comme
线,line,ligne
长,long,long
机,machine,machine
郎,man,homme
网,net,réseau
不,not,ne
数,number,nombre
的,of,de
人,person,personne
记,record,record
回,return,retour
道,road,route
科,section,section
看,see,voir
形,shape,forme
小,small,petit
歌,song,chanson
统,system,système
这,this,ce
时,time,temps
镇,town,ville
二,two,deux
种,type,genre
村,village,village
你,you,tu
