en,fr,en_to_fr_prob,fr_to_en_prob
▁line,▁ligne,0.68310547,0.7050781
▁public,▁public,0.22216797,0.21142578
▁fire,▁feu,0.48657227,0.6972656
▁politics,▁politique,0.35546875,0.4501953
▁seven,▁sept,0.47216797,0.57666016
▁question,▁question,0.44482422,0.5004883
▁belong,▁apparten,0.11004639,0.12939453
▁system,▁système,0.33203125,0.7192383
▁month,▁mois,0.6899414,0.6669922
▁symbol,▁sym,0.28857422,0.060150146
▁red,▁rou,0.8046875,0.17077637
▁sky,▁ciel,0.73779297,0.6738281
▁source,▁source,0.30200195,0.1427002
▁too,▁trop,0.38232422,0.546875
▁world,▁monde,0.515625,0.5439453
▁other,▁autre,0.2915039,0.5102539
▁that,▁cela,0.18041992,0.33422852
▁and,▁et,0.6875,0.67529297
▁lose,▁perd,0.3659668,0.24108887
▁union,▁union,0.24511719,0.2244873
▁limit,▁lim,0.19494629,0.06317139
▁book,▁livre,0.49414062,0.66552734
▁wave,▁vague,0.23071289,0.13720703
▁D,▁D,0.40576172,0.14575195
▁near,▁près,0.3371582,0.4819336
▁king,▁roi,0.47436523,0.75439453
▁field,▁champ,0.3569336,0.44555664
▁temple,▁temple,0.39526367,0.34594727
▁horse,▁cheval,0.60546875,0.7841797
▁talent,▁talent,0.359375,0.265625
▁record,▁record,0.18029785,0.13378906
▁effect,▁effet,0.2590332,0.3762207
▁you,▁vous,0.36621094,0.7246094
▁this,▁ce,0.27416992,0.4038086
▁solution,▁solution,0.24816895,0.19506836
▁base,▁base,0.14501953,0.109558105
▁loyal,▁loyal,0.1875,0.2512207
▁reason,▁raison,0.5810547,0.45996094
▁bridge,▁pont,0.35180664,0.7553711
▁earth,▁terre,0.4765625,0.31640625
▁mother,▁mère,0.6567383,0.7451172
▁body,▁corps,0.5571289,0.6796875
▁he,▁il,0.42236328,0.44433594
▁electric,▁élect,0.21984863,0.08129883
▁summer,▁été,0.48876953,0.7871094
▁husband,▁mari,0.23693848,0.24865723
▁in,▁dans,0.29858398,0.33154297
▁version,▁version,0.43603516,0.5522461
▁success,▁succès,0.3791504,0.53466797
▁faith,▁foi,0.28149414,0.3232422
▁mountain,▁mont,0.21313477,0.40454102
▁south,▁sud,0.42700195,0.7363281
▁special,▁spécial,0.41088867,0.41357422
▁museum,▁musée,0.37890625,0.6743164
▁ball,▁ball,0.29614258,0.36279297
▁official,▁officiel,0.07849121,0.5834961
▁best,▁meilleur,0.47827148,0.42797852
▁province,▁province,0.19958496,0.48876953
▁four,▁quatre,0.48339844,0.72802734
▁seat,▁siège,0.12780762,0.2232666
▁one,▁un,0.59814453,0.5024414
