zh,en
的,▁of
大,▁big
一,▁one
日,▁day
山,▁mountain
数,▁number
国,▁country
新,▁new
田,▁field
村,▁village
天,▁sky
小,▁small
王,▁king
年,▁year
和,▁and
高,▁high
月,▁moon
公,▁public
法,▁law
名,▁name
社,▁society
字,▁character
海,▁sea
明,▁bright
时,▁time
南,▁south
西,▁west
城,▁city
美,▁beautiful
金,▁gold
北,▁north
原,▁original
我,▁I
县,▁county
二,▁two
木,▁wood
水,▁water
内,▁inside
世,▁world
十,▁ten
来,▁come
面,▁face
这,▁this
街,▁street
石,▁stone
河,▁river
花,▁flower
真,▁true
口,▁mouth
图,▁picture
光,▁light
白,▁white
心,▁heart
路,▁road
手,▁hand
度,▁degree
星,▁star
五,▁five
重,▁heavy
你,▁you
多,▁many
四,▁four
井,▁well
东,▁east
同,▁same
政,▁politics
科,▁science
春,▁spring
知,▁know
八,▁eight
百,▁hundred
外,▁outside
好,▁good
指,▁finger
请,▁please
周,▁week
谷,▁valley
特,▁special
长,▁long
英,▁English
流,▁flow
直,▁straight
千,▁thousand
单,▁single
歌,▁song
限,▁limit
夫,▁husband
土,▁earth
系,▁system
男,▁man
他,▁he
夏,▁summer
六,▁six
火,▁fire
九,▁nine
选,▁choose
那,▁that
模,▁model
需,▁need
夜,▁night
或,▁or
根,▁root
七,▁seven
机,▁machine
创,▁create
布,▁cloth
变,▁change
沙,▁sand
写,▁write
森,▁forest
黄,▁yellow
湖,▁lake
宇,▁universe
语,▁language
老,▁old
例,▁example
波,▁wave
马,▁horse
线,▁line
球,▁ball
拉,▁pull
只,▁only
因,▁because
头,▁head
从,▁from
省,▁province
页,▁page
影,▁shadow
尾,▁tail
必,▁must
门,▁door
左,▁left
身,▁body
官,▁official
草,▁grass
富,▁rich
雪,▁snow
错,▁mistake
桥,▁bridge
店,▁shop
母,▁mother
云,▁cloud
试,▁try
右,▁right
群,▁group
近,▁near
塔,▁tower
军,▁army
红,▁red
书,▁book
米,▁rice
客,▁guest
删,▁delete
舞,▁dance
深,▁deep
每,▁every
茶,▁tea
房,▁house
电,▁electric
陈,▁Chen
健,▁health
神,▁god
