zh,en,fr
的,of,de
大,big,grand
中,middle,milieu
一,one,un
人,person,personne
子,child,enfant
日,sun,soleil
山,mountain,montagne
文,literature,littérature
本,book,livre
数,number,nombre
国,country,pays
新,new,nouveau
田,field,champ
道,road,route
村,village,village
用,use,utiliser
天,sky,ciel
镇,town,ville
不,not,ne
学,learn,apprendre
有,have,avoir
上,up,haut
会,meeting,réunion
小,small,petit
行,walk,marcher
三,three,trois
市,city,ville
王,king,roi
区,area,zone
年,year,an
生,life,vie
成,become,devenir
定,decide,décider
个,individual,individu
和,and,et
在,at,à
方,direction,direction
高,high,haut
地,earth,terre
月,moon,lune
公,public,public
出,out,sortir
法,law,loi
名,name,nom
下,down,bas
社,society,société
为,for,pour
川,river,rivière
之,of,de
字,character,caractère
海,sea,mer
東,east,est
明,bright,brillant
时,time,temps
南,south,sud
西,west,ouest
平,flat,plat
式,style,style
家,home,maison
城,city,ville
美,beautiful,beau
件,piece,pièce
部,part,partie
女,woman,femme
以,by,par
太,too,trop
前,front,devant
金,gold,or
野,wild,sauvage
北,north,nord
加,add,ajouter
原,origin,origine
置,place,endroit
安,peace,paix
我,I,je
京,capital,capitale
可,can,pouvoir
取,take,prendre
县,county,comté
二,two,deux
理,reason,raison
自,self,soi
信,believe,croire
代,replace,remplacer
要,want,vouloir
化,change,changer
木,wood,bois
水,water,eau
島,island,île
正,correct,correct
内,inside,intérieur
作,make,faire
合,combine,combiner
回,return,retour
所,place,endroit
事,matter,matière
表,table,table
分,divide,diviser
入,enter,entrer
全,whole,entier
里,inside,intérieur
郎,man,homme
州,state,état
者,person,personne
通,through,à travers
都,capital,capitale
江,river, rivière
到,arrive,arriver
对,correct,correct
使,use,utiliser
世,world,monde
果,fruit,fruit
十,ten,dix
来,come,venir
面,face,visage
这,this,ce
街,street,rue
石,stone,pierre
能,ability,capacité
空,empty,vide
后,after,après
元,origin,origine
河,river, rivière
町,town,ville
花,flower,fleur
类,type,genre
物,thing,objet
版,edition,édition
动,move,bouger
如,like,comme
真,true,vrai
号,number,numéro
林,forest,forêt
書,book,livre
民,people,peuple
口,mouth,bouche
示,show,montrer
图,map,carte
戦,battle,bataille
光,light,lumière
白,white,blanc
心,heart,coeur
路,road,route
最,most,plus
手,hand,main
型,type,genre
建,build,construire
主,main,principal
集,collect,collecter
目,eye,oeil
度,degree,degré
長,long,long
星,star,étoile
五,five,cinq
重,heavy,lourd
于,at,à
发,hair,cheveux
史,history,histoire
國,country,pays
你,you,tu
駅,station,station
多,many,beaucoup
士,scholar,érudit
四,four,quatre
司,department,département
次,next,prochain
立,stand,debout
点,point,point
音,sound,son
器,device,appareil
井,well,puits
存,exist,exister
当,should,devoir
性,nature,nature
也,also,aussi
位,position,position
值,value,valeur
古,ancient,ancien
界,boundary,frontière
語,language,langue
愛,love,amour
時,time,temps
东,east,est
同,same,même
保,protect,protéger
青,blue,bleu
体,body,corps
清,clear,clair
将,will,volonté
族,tribe,tribu
政,politics,politique
间,between,entre
始,begin,commencer
息,breath,respirer
少,few,peu
教,teach,enseigner
获,obtain,obtenir
列,list, liste
开,open,ouvrir
科,section,section
春,spring,printemps
台,platform,plateforme
工,work,travail
知,know,savoir
八,eight,huit
場,place,endroit
画,draw,dessiner
百,hundred,cent
記,record,record
得,obtain,obtenir
关,close,fermer
标,mark,marque
外,outside,extérieur
間,between,entre
校,school,école
制,system,système
力,power,pouvoir
門,door,porte
好,good,bon
指,finger,doigt
色,color,couleur
返,return,retour
馬,horse,cheval
请,please,s'il vous plaît
風,wind,vent
接,connect,connecter
更,more,plus
程,process,processus
郡,county,comté
利,benefit,bénéfice
周,week,semaine
谷,valley,vallée
期,period,période
初,first,premier
福,fortune,fortune
片,piece,pièce
動,move,bouger
过,pass,passer
特,special,spécial
长,long,long
英,hero,héros
其,its,son
流,flow,flux
除,remove,enlever
直,direct,direct
千,thousand,mille
館,building,bâtiment
朝,morning,matin
单,single,seul
格,pattern,modèle
德,virtue,vertu
歌,song,chanson
进,enter,entrer
限,limit,limite
夫,husband,mari
園,garden,jardin
土,soil,sol
放,release,relâcher
码,code,code
等,wait,attendre
系,system,système
華,Chinese,chinois
常,often,souvent
否,no,non
見,see,voir
源,source,source
实,real,r éel
博,extensive,vaste
解,solve, résoudre
男,male,mâle
無,none,aucun
查,check,vérifier
条,strip,bande
後,after,après
他,he,il
网,net,réseau
户,household,ménage
命,life,vie
就,just,juste
君,you,tu
夏,summer,été
言,word,mot
先,before,avant
典,code,code
组,group,groupe
改,change,changer
华,Chinese,chinois
与,and,et
由,from,de
學,learn,apprendre
消,disappear,disparaître
符,symbol,symbole
录,record,record
已,already,déjà
陽,sun,soleil
容,contain,contenir
提,lift,soulever
六,six,six
形,shape,forme
伊,he,il
火,fire,feu
佐,assistant,assistant
结,tie,noeud
九,nine,neuf
雄,male,mâle
而,and,et
张,open,ouvrir
向,towards,vers
选,choose,choisir
堂,hall,salle
久,long,long
无,none,aucun
那,that,ce
線,line,ligne
务,service,service
基,base,base
属,belong,appartenir
配,match,correspondre
軍,army,armée
完,complete,complet
研,research,recherche
注,pour,verser
失,lose,perdre
应,should,devoir
友,friend,ami
章,chapter,chapitre
求,seek,chercher
模,model,modèle
需,need,besoin
此,this,ce
夜,night,nuit
或,or,ou
橋,bridge,pont
根,root,racine
品,product,produit
良,good,bon
则,then,puis
開,open,ouvrir
被,by,par
株,stock,stock
记,remember,se souvenir
會,meeting,réunion
转,turn,tourner
比,compare,comparer
造,create,créer
没,not,pas
现,appear,apparaître
七,seven,sept
商,business,affaires
机,machine,machine
阳,sun,soleil
站,stand,debout
及,and,et
術,art,art
认,recognize,reconnaître
创,create,créer
岡,hill,colline
任,responsibility,responsabilité
布,cloth, tissu
究,study,étudier
密,secret,secret
变,change,changer
序,sequence,séquence
计,calculate,calculer
曲,song,chanson
包,wrap,envelopper
意,meaning,signification
去,go,aller
沙,sand,sable
写,write,écrire
超,exceed,dépasser
今,now,maintenant
森,forest,forêt
黄,yellow,jaune
湖,lake,lac
何,what,quoi
宇,universe,univers
張,stretch,étirer
语,language,langue
老,old,vieux
例,example,exemple
鉄,iron,fer
克,overcome,surmonter
然,so,donc
報,report,rapport
服,clothes,vêtements
想,think,penser
実,real,r éel
载,load,charger
波,wave,vague
马,horse,cheval
状,shape,forme
线,line,ligne
洋,ocean,océan
添,add,ajouter
球,ball,balle
機,machine,machine
支,branch,branche
显,appear,apparaître
拉,pull,tirer
送,send,envoyer
隊,team,équipe
处,place,endroit
師,teacher,enseignant
像,like,comme
黒,black,noir
只,only,seulement
起,rise,monter
段,section,section
區,area,zone
選,choose,choisir
業,business,affaires
算,calculate,calculer
广,wide,large
视,see,voir
因,because,parce que
输,lose,perdre
康,health,santé
思,think,penser
死,death,mort
聖,holy,sacré
头,head,tête
車,vehicle,véhicule
按,press,presser
夢,dream,rêve
从,from,de
题,topic,sujet
省,save,économiser
葉,leaf,feuille
関,relation,relation
页,page, page
共,common,commun
态,state,état
技,skill,compétence
乐,happy,heureux
控,control,contrôler
移,move,bouger
影,shadow,ombre
管,pipe,tuyau
戸,door,porte
函,letter,lettre
尾,tail,queue
场,field,champ
介,introduce,introduire
泉,spring,printemps
说,speak,parler
换,exchange,échanger
必,must,devoir
気,air,air
门,door,porte
令,command,commander
左,left,gauche
若,if,si
屋,house,maison
打,hit,frapper
问,ask,demander
恋,love,amour
兵,soldier,soldat
別,separate,séparer
引,pull,tirer
智,wisdom,sagesse
赤,red,rouge
断,cut,couper
称,call,appeler
身,body,corps
首,head,tête
付,attach,attacher
連,connect,connecter
官,official,officiel
持,hold,tenir
親,parent,parent
秀,excellent,excellent
址,site,site
守,guard,garde
活,live,vivre
藏,hide,cacher
草,grass,herbe
結,tie,noeud
樹,tree,arbre
勝,win,gagner
足,foot,pied
业,industry,industrie
富,rich,riche
雪,snow,neige
再,again,encore
默,silent,silencieux
楽,joy,joie
羅,net,réseau
错,wrong,faux
桥,bridge,pont
雲,cloud,nuage
该,should,devoir
岩,rock,rocher
切,cut,couper
店,store,magasin
母,mother,mère
击,hit,frapper
設,establish,établir
經,experience,expérience
座,seat,siège
云,cloud,nuage
告,tell, dire
変,change,changer
试,try,essayer
判,judge,juger
达,reach,atteindre
右,right,droite
复,return,retour
看,see,voir
話,speak,parler
尔,you,tu
衛,guard,garde
丸,round,rond
样,pattern,modèle
喜,joy,joie
斯,this,ce
銀,silver,argent
群,group,groupe
近,near,proche
塔,tower,tour
确,sure,sûr
索,search,recherche
非,not,ne
望,hope,espoir
希,hope,espoir
越,exceed,dépasser
鳥,bird,oiseau
测,measure,mesurer
话,speak,parler
池,pool,étang
食,eat,manger
渡,cross,croiser
速,fast,rapide
军,army,armée
红,red,rouge
論,theory,théorie
頭,head,tête
飛,fly,voler
么,small,petit
達,reach,atteindre
洞,cave,grotte
项,item,article
种,type,genre
书,book,livre
构,construct,construire
米,rice,riz
连,connect,connecter
操,operate,opérer
装,dress,vêtir
反,opposite,opposé
仮,temporary,temporaire
员,member,membre
客,guest,invité
删,delete,supprimer
現,present,présent
助,help,aider
微,tiny,petit
舞,dance,dans
导,lead,diriger
效,effect,effet
深,deep,profond
料,material,matériel
每,each,chaque
茶,tea,thé
败,fail,échouer
些,some,quelques
双,pair,paire
嘉,excellent,excellent
進,advance,avancer
故,old,vieux
計,calculate,calculer
遠,far,loin
候,wait,attendre
房,house,maison
两,two,deux
才,talent,talent
止,stop,arrêter
番,turn,virage
奇,strange,étrange
怪,strange,étrange
边,edge,bord
还,return,retour
黃,yellow,jaune
收,receive,recevoir
弘,vast,vast
给,give,donner
乡,village,village
武,military,militaire
设,establish,établir
情,feeling,sentiment
治,manage,gérer
志,will,volonté
県,county,comté
参,join,rejoindre
義,justice,justice
象,image,image
永,forever,pour toujours
量,measure,mesurer
府,government,gouvernement
调,adjust,ajuster
修,fix,fixer
未,future,futur
义,justice,justice
交,exchange,échanger
角,angle,angle
伝,report,rapport
港,port,port
景,view,vue
秋,fall,automne
汉,man,homme
展,spread,étaler
素,simple,simple
宿,stay,rester
紀,record,record
漢,man,homme
局,office,bureau
并,combine,combiner
节,section,section
电,electric,électrique
陳,display,afficher
专,expert,expert
朱,red,rouge
坂,hill,colline
鬼,spirit,esprit
甲,shell,coquille
溪,stream,ruisseau
陈,display,afficher
健,strong,fort
庄,village,village
巴,target,cible
貴,valuable,précieux
运,luck,chance
昭,bright,brillant
居,live,habiter
瀬,current,courant
洲,island,île
联,join,rejoindre
神,spirit,esprit
院,hospital,hôpital
相,appearance,apparence
经,classic, classique
传,spread,répandre
统,system,système
