en,de,en_to_de_prob,de_to_en_prob
▁line,▁Lin,0.8095703,0.053466797
▁fire,▁Feuer,0.70996094,0.65722656
▁town,▁Stadt,0.3017578,0.45361328
▁politics,▁Politik,0.58203125,0.35058594
▁seven,▁sieben,0.58691406,0.6855469
▁system,▁System,0.4675293,0.19494629
▁symbol,▁Symbol,0.51708984,0.12890625
▁from,▁von,0.48950195,0.30737305
▁red,▁rot,0.58984375,0.42871094
▁again,▁wieder,0.68847656,0.24499512
▁world,▁Welt,0.44189453,0.69873047
▁mark,▁Mark,0.26708984,0.09051514
▁and,▁und,0.8076172,0.7714844
▁over,▁über,0.54345703,0.25439453
▁book,▁Buch,0.7558594,0.6020508
▁D,▁D,0.4897461,0.057769775
▁near,▁nahe,0.4267578,0.27734375
▁border,▁Gren,0.79345703,0.04574585
▁king,▁König,0.7495117,0.59521484
▁field,▁Feld,0.64990234,0.66015625
▁food,▁Ess,0.3581543,0.060028076
▁you,▁du,0.4350586,0.51464844
▁this,▁dies,0.25463867,0.17248535
▁research,▁Forsch,0.37768555,0.12658691
▁only,▁nur,0.6923828,0.25805664
▁Germany,▁Deutschland,0.8071289,0.54296875
▁mother,▁Mutter,0.89501953,0.75878906
▁he,▁er,0.78564453,0.27124023
▁electric,▁elektr,0.5185547,0.16333008
▁summer,▁Sommer,0.55566406,0.7084961
▁forest,▁Wald,0.65478516,0.48583984
▁in,▁in,0.47607422,0.17919922
▁version,▁Version,0.5498047,0.45507812
▁mountain,▁Berg,0.6484375,0.51123047
▁south,▁süd,0.24816895,0.70751953
▁museum,▁Museum,0.5185547,0.34960938
▁ball,▁Ball,0.44458008,0.4423828
▁because,▁weil,0.6933594,0.5419922
▁east,▁Ost,0.40698242,0.5131836
▁best,▁best,0.3395996,0.15942383
▁water,▁Wasser,0.91259766,0.68603516
▁province,▁Provinz,0.5341797,0.48779297
▁four,▁vier,0.8540039,0.7114258
▁seat,▁Sitz,0.6113281,0.19909668
▁one,▁ein,0.5258789,0.2548828
▁festival,▁Fest,0.22802734,0.10687256
▁self,▁selbst,0.24658203,0.2512207
▁should,▁sollte,0.30419922,0.5102539
▁stone,▁Stein,0.7993164,0.71435547
▁north,▁Nord,0.33032227,0.5288086
▁middle,▁mitt,0.25463867,0.21154785
▁building,▁Bau,0.13977051,0.22644043
▁all,▁alle,0.5546875,0.48266602
▁to,▁zu,0.25390625,0.23547363
