en,ru,en_tok,ru_tok,en_to_ru_prob,ru_to_en_prob
▁American,▁американ,3082,14888,0.2245,0.8076
▁British,▁британ,4908,25926,0.1584,0.6255
▁English,▁англий,4223,24999,0.2502,0.7144
▁French,▁француз,5176,27055,0.4087,0.745
▁God,▁Бо,4177,6281,0.4336,0.09174
▁I,▁я,306,2282,0.413,0.7295
▁Russian,▁рус,10637,14251,0.618,0.3499
▁Supreme,▁Верхов,22569,25731,0.1434,0.1975
▁about,▁о,1048,614,0.276,0.1704
▁above,▁над,2038,8082,0.195,0.4104
▁accepted,▁приня,9259,17867,0.345,0.1616
▁action,▁действи,3158,20046,0.234,0.2197
▁active,▁актив,6136,15696,0.279,0.7373
▁administrative,▁административ,19185,23409,0.4058,0.8306
▁after,▁после,1156,9017,0.523,0.846
▁against,▁против,2750,12411,0.4863,0.72
▁age,▁возра,5046,27808,0.379,0.564
▁all,▁все,599,6495,0.399,0.508
▁already,▁уже,2307,20203,0.644,0.774
▁also,▁также,884,6517,0.372,0.4973
▁among,▁среди,4249,19927,0.1655,0.3936
▁and,▁и,322,606,0.7256,0.634
▁anti,▁анти,9418,25980,0.2397,0.2974
▁army,▁ар,9987,5339,0.1868,0.1766
▁arrow,▁стре,16578,21373,0.6987,0.1183
▁art,▁искус,1616,21073,0.3584,0.552
▁artist,▁худож,7664,17341,0.2756,0.5317
▁author,▁автор,4148,25928,0.2996,0.7866
▁award,▁награ,9862,21295,0.316,0.2605
▁bank,▁бан,9124,24391,0.3267,0.4963
▁became,▁стал,3897,13627,0.1409,0.6655
▁before,▁перед,1434,17702,0.275,0.5566
▁began,▁нача,4689,7140,0.66,0.1772
▁best,▁луч,1900,23321,0.303,0.4512
▁between,▁между,1546,11012,0.5137,0.649
▁big,▁боль,4802,9935,0.572,0.2908
▁bio,▁био,17799,21840,0.539,0.3716
▁book,▁кни,3143,13024,0.5537,0.637
▁born,▁роди,6345,14887,0.6143,0.1934
▁brother,▁бра,8099,12224,0.8154,0.64
▁build,▁строи,2048,22493,0.3022,0.252
▁building,▁зда,5214,23304,0.1537,0.4695
▁built,▁постро,4240,22486,0.2808,0.3022
▁but,▁но,541,4228,0.583,0.1901
▁called,▁называ,2000,23016,0.1962,0.1989
▁captain,▁капи,15315,28850,0.4697,0.1478
▁center,▁центр,4818,23835,0.1895,0.5015
▁champion,▁чемпи,8064,12200,0.2515,0.7007
▁church,▁церков,6586,25976,0.2917,0.8213
