en,ru,en_tok,ru_tok,en_to_ru_prob,ru_to_en_prob
▁American,▁американ,3725,74339,0.325,0.8105
▁Catholic,▁като,14743,49360,0.6465,0.2274
▁Chinese,▁китай,8974,112674,0.1776,0.4326
▁German,▁нем,5132,38234,0.2947,0.284
▁God,▁Бог,2992,127916,0.4626,0.8896
▁I,▁я,590,4293,0.5845,0.6416
▁Internet,▁интернет,9047,80847,0.2426,0.4485
▁Japanese,▁япон,11430,135154,0.1497,0.4214
▁Jew,▁евре,9195,163143,0.4043,0.4214
▁PC,▁ПК,7533,178396,0.12427,0.12006
▁Russian,▁русский,11200,149151,0.2026,0.8423
▁abilities,▁способности,24743,197909,0.1072,0.354
▁above,▁над,3131,26883,0.2052,0.5347
▁absence,▁отсутствие,14862,147254,0.1729,0.66
▁absolute,▁абсолю,6943,103544,0.538,0.7285
▁absolutely,▁абсолютно,11222,134849,0.1396,0.611
▁academy,▁акаде,39277,112627,0.095,0.3508
▁accompany,▁сопрово,24834,135588,0.563,0.4136
▁account,▁счет,3185,72612,0.3499,0.3337
▁accuse,▁обви,92640,123855,0.607,0.1772
▁achievements,▁достижения,33319,156923,0.1044,0.563
▁acid,▁кисло,6898,65816,0.2106,0.4119
▁action,▁действие,3105,130985,0.1941,0.7725
▁active,▁актив,6066,45323,0.4087,0.7075
▁activists,▁активи,55604,152512,0.147,0.1819
▁actor,▁актер,14250,217549,0.1527,0.9165
▁actress,▁актриса,25710,198076,0.4907,0.8784
▁additional,▁дополнитель,5942,69485,0.096,0.421
▁address,▁адрес,3986,115833,0.3774,0.844
▁administration,▁администра,11588,76257,0.0655,0.2131
▁admire,▁восхи,48663,234111,0.0989,0.2703
▁advantages,▁преимущества,17927,137273,0.1812,0.5913
▁affects,▁влияет,25416,203507,0.1881,0.2625
▁after,▁после,1452,15122,0.4985,0.8555
▁against,▁против,2691,45438,0.8496,0.679
▁age,▁возраст,3911,125744,0.1841,0.8936
▁agent,▁агент,10588,137688,0.07385,0.729
▁agreement,▁договор,9352,154034,0.2471,0.488
▁air,▁воздух,2681,173404,0.193,0.918
▁album,▁альбом,8022,211059,0.3103,0.8823
▁algorithm,▁алгорит,14685,195564,0.4736,0.7827
▁all,▁все,832,6469,0.6045,0.679
▁allergy,▁аллер,72336,175702,0.2318,0.546
▁allows,▁позволяет,8563,72415,0.177,0.5205
▁almost,▁почти,4461,58226,0.6626,0.521
▁already,▁уже,3303,19044,0.761,0.7524
▁alternative,▁альтерна,11023,185480,0.1364,0.6587
▁although,▁хотя,7546,66352,0.3652,0.5083
▁aluminum,▁алюми,23139,167306,0.66,0.2023
▁always,▁всегда,2593,37569,0.7134,0.8193
▁analysis,▁анализ,4084,123177,0.464,0.7607
▁and,▁и,578,1153,0.591,0.7666
▁animation,▁анима,18449,208631,0.5,0.3247
▁anime,▁аниме,11046,119693,0.3398,0.6196
▁announce,▁объя,14733,67410,0.1504,0.0636
▁answer,▁ответ,3448,44008,0.292,0.666
▁anti,▁анти,3258,54580,0.1665,0.1652
▁apparently,▁видимо,15543,214029,0.1396,0.1042
▁appeared,▁появился,9223,186881,0.4006,0.582
▁appears,▁появляется,8149,179165,0.2073,0.601
▁apple,▁ябло,15491,115522,0.2343,0.7427
▁appoint,▁назна,24377,76781,0.421,0.126
▁architecture,▁архитек,16333,125240,0.10913,0.6016
▁archive,▁архив,34336,116782,0.1414,0.6626
▁armed,▁воору,23328,167534,0.2664,0.211
▁army,▁ар,12211,20435,0.0803,0.04056
▁around,▁вокруг,2449,96730,0.1857,0.565
▁arrow,▁стре,9702,46202,0.716,0.1764
▁art,▁искусство,3096,173680,0.0682,0.7983
▁artist,▁художник,9161,187606,0.2335,0.567
▁as,▁как,685,6776,0.3096,0.341
▁ask,▁спро,5291,56861,0.109,0.227
▁association,▁ассо,14329,97101,0.1493,0.1046
▁atmosphere,▁атмос,13795,106142,0.1078,0.527
▁attack,▁напа,6279,157891,0.2329,0.4995
▁attempt,▁попы,8697,145960,0.1957,0.2429
▁attention,▁внимание,6137,51576,0.3145,0.7505
▁audience,▁ауди,12207,121418,0.168,0.3892
▁audio,▁аудио,9934,196239,0.352,0.739
▁author,▁автор,3426,89094,0.2622,0.862
▁automatic,▁автомати,17234,79344,0.3926,0.548
▁automatically,▁автоматически,11650,223772,0.4553,0.8726
▁autumn,▁осень,22119,111047,0.549,0.62
▁axis,▁ось,13236,227942,0.3145,0.1688
▁b,▁б,518,1674,0.0983,0.02167
▁back,▁назад,1355,63371,0.2573,0.705
▁bad,▁плохо,3338,102787,0.1677,0.522
▁balance,▁балан,7739,129782,0.0898,0.543
▁banana,▁бана,31985,183928,0.1423,0.5547
▁bank,▁бере,5681,36441,0.0488,0.1238
▁bar,▁бар,2333,62294,0.11163,0.2283
▁basket,▁корзи,12220,200042,0.06198,0.6255
▁bath,▁ван,7968,64926,0.3325,0.08685
▁battery,▁бата,10780,85876,0.306,0.0689
▁battle,▁бой,9509,87495,0.1525,0.2876
▁beach,▁пля,8318,84611,0.1359,0.6157
▁beast,▁звер,30365,121133,0.16,0.2834
▁beautiful,▁прекра,4964,50773,0.1787,0.3174
▁beauty,▁краса,9281,173589,0.256,0.5566
▁became,▁стал,5981,59248,0.354,0.6724
▁because,▁потому,1861,54948,0.4336,0.6016
▁becomes,▁становится,8485,103469,0.5103,0.663
▁beer,▁пиво,15052,235200,0.2008,0.9023
▁begin,▁начина,3293,48816,0.1957,0.4612
▁beginning,▁начало,7489,125601,0.2864,0.5425
▁begins,▁начинается,13389,152807,0.574,0.5674
▁behaviour,▁поведение,16612,192896,0.1918,0.4314
▁behind,▁за,5470,2146,0.223,0.251
▁bell,▁зво,20116,83813,0.2773,0.2136
▁belong,▁принадле,8070,144192,0.1847,0.1875
▁belt,▁пояс,16716,132797,0.09906,0.706
▁best,▁лучший,1963,160350,0.2817,0.4285
▁better,▁лучше,2525,38830,0.4453,0.794
▁between,▁между,1865,28893,0.5957,0.895
▁bicycle,▁велосипе,34334,125095,0.2194,0.4978
▁big,▁большой,2824,63718,0.3103,0.6084
▁bishop,▁епи,50322,189895,0.1829,0.6245
▁black,▁черный,2656,69924,0.149,0.859
▁block,▁блок,3963,103592,0.0862,0.719
▁blood,▁кровь,5330,191062,0.563,0.925
▁blue,▁синий,3868,112572,0.299,0.895
▁bodies,▁тела,13266,82939,0.1748,0.3562
▁body,▁тело,2971,121216,0.1149,0.821
▁bomb,▁бом,16499,156367,0.1321,0.752
▁book,▁книга,2870,100216,0.1481,0.9214
▁books,▁книги,6142,75738,0.1958,0.841
▁both,▁оба,2145,104901,0.2135,0.8
▁bottle,▁буты,12989,127919,0.1454,0.5454
▁boxing,▁бокс,47549,232902,0.1332,0.653
▁boys,▁маль,10194,70277,0.12415,0.3345
▁bread,▁хлеб,11843,175570,0.3193,0.807
▁breast,▁грудь,14665,201644,0.1462,0.4812
▁brick,▁кирпи,21810,144253,0.4404,0.6
▁bridge,▁мост,12261,188912,0.2316,0.928
▁bronze,▁брон,19634,138370,0.5493,0.695
▁brother,▁брат,8462,120492,0.5913,0.891
