zh,en,fr,de
大,big,grand,groß
中,middle,milieu,Mitte
一,one,un,eins
文,literature,littérature,Literatur
新,new,nouveau,neu
天,sky,ciel,Himmel
有,have,avoir,haben
上,up,haut,oben
三,three,trois,drei
王,king,roi,König
年,year,an,Jahr
方,direction,direction,Richtung
高,high,haut,hoch
地,earth,terre,Erde
公,public,public,öffentlich
法,law,loi,Recht
名,name,nom,Name
下,down,bas,unten
社,society,société,Gesellschaft
为,for,pour,für
海,sea,mer,Meer
南,south,sud,Süd
平,flat,plat,flach
式,style,style,Stil
家,home,maison,Haus
部,part,partie,Teil
女,woman,femme,Frau
太,too,trop,zu
前,front,devant,vorne
金,gold,or,Gold
北,north,nord,Nord
我,I,je,ich
可,can,pouvoir,können
取,take,prendre,nehmen
理,reason,raison,Grund
木,wood,bois,Holz
作,make,faire,machen
表,table,table,Tabelle
世,world,monde,Welt
果,fruit,fruit,Frucht
十,ten,dix,zehn
街,street,rue,Straße
空,empty,vide,leer
物,thing,objet,Ding
版,edition,édition,Ausgabe
图,map,carte,Karte
戦,battle,bataille,Schlacht
白,white,blanc,weiß
最,most,plus,meist
手,hand,main,Hand
主,main,principal,Haupt
五,five,cinq,fünf
駅,station,station,Bahnhof
多,many,beaucoup,viele
四,four,quatre,vier
司,department,département,Abteilung
点,point,point,Punkt
音,sound,son,Klang
性,nature,nature,Natur
也,also,aussi,auch
位,position,position,Position
古,ancient,ancien,alt
同,same,même,gleich
政,politics,politique,Politik
少,few,peu,wenig
工,work,travail,Arbeit
八,eight,huit,acht
百,hundred,cent,hundert
标,mark,marque,Marke
力,power,pouvoir,Kraft
風,wind,vent,Wind
更,more,plus,mehr
期,period,période,Periode
初,first,premier,erster
福,fortune,fortune,Glück
过,pass,passer,vorbeigehen
特,special,spécial,besonders
其,its,son,sein
流,flow,flux,Fluss
直,direct,direct,direkt
单,single,seul,einzeln
夫,husband,mari,Mann
土,soil,sol,Boden
常,often,souvent,oft
否,no,non,nein
源,source,source,Quelle
条,strip,bande,Streifen
夏,summer,été,Sommer
言,word,mot,Wort
先,before,avant,vor
已,already,déjà,schon
六,six,six,sechs
火,fire,feu,Feuer
佐,assistant,assistant,Assistent
向,towards,vers,nach
那,that,ce,das
务,service,service,Dienst
基,base,base,Basis
完,complete,complet,komplett
研,research,recherche,Forschung
友,friend,ami,Freund
夜,night,nuit,Nacht
或,or,ou,oder
品,product,produit,Produkt
则,then,puis,dann
株,stock,stock,Aktie
七,seven,sept,sieben
術,art,art,Kunst
密,secret,secret,Geheimnis
去,go,aller,gehen
湖,lake,lac,See
宇,universe,univers,Universum
例,example,exemple,Beispiel
鉄,iron,fer,Eisen
然,so,donc,also
波,wave,vague,Welle
隊,team,équipe,Mannschaft
只,only,seulement,nur
广,wide,large,weit
死,death,mort,Tod
题,topic,sujet,Thema
関,relation,relation,Beziehung
共,common,commun,gemeinsam
尾,tail,queue,Schwanz
気,air,air,Luft
令,command,commander,Befehl
左,left,gauche,links
若,if,si,wenn
官,official,officiel,Beamter
持,hold,tenir,halten
親,parent,parent,Elternteil
址,site,site,Stelle
足,foot,pied,Fuß
再,again,encore,wieder
母,mother,mère,Mutter
座,seat,siège,Sitz
右,right,droite,rechts
丸,round,rond,Rund
銀,silver,argent,Silber
塔,tower,tour,Turm
索,search,recherche,Suche
速,fast,rapide,schnell
项,item,article,Artikel
员,member,membre,Mitglied
現,present,présent,Gegenwart
微,tiny,petit,winzig
舞,dance,dans,Tanz
效,effect,effet,Wirkung
每,each,chaque,jeder
茶,tea,thé,Tee
些,some,quelques,einiges
才,talent,talent,Talent
边,edge,bord,Kante
弘,vast,vast,weit
给,give,donner,geben
武,military,militaire,Militär
情,feeling,sentiment,Gefühl
象,image,image,Bild
府,government,gouvernement,Regierung
角,angle,angle,Winkel
港,port,port,Hafen
景,view,vue,Blick
素,simple,simple,einfach
专,expert,expert,Experte
健,strong,fort,stark
运,luck,chance,Glück
后,after,après,nach
和,and,et,und
区,area,zone,Gebiet
在,at,à,bei
间,between,entre,zwischen
体,body,corps,Körper
书,book,livre,Buch
桥,bridge,pont,Brücke
以,by,par,mit
京,capital,capitale,Hauptstadt
市,city,ville,Stadt
码,code,code,Kode
正,correct,correct,korrigieren
国,country,pays,Land
门,door,porte,Tür
东,east,est,Ost
秀,excellent,excellent,ausgezeichnet
田,field,champ,Feld
从,from,de,von
好,good,bon,gut
群,group,groupe,Gruppe
他,he,il,er
头,head,tête,Kopf
马,horse,cheval,Pferd
屋,house,maison,Haus
义,justice,justice,Gerechtigkeit
语,language,langue,Sprache
生,life,vie,Leben
如,like,comme,wie
线,line,ligne,Linie
长,long,long,lang
机,machine,machine,Maschine
郎,man,homme,Mann
网,net,réseau,Netz
不,not,ne,nicht
数,number,nombre,Nummer
的,of,de,von
人,person,personne,Person
记,record,record,Rekord
回,return,retour,Rückkehr
道,road,route,Weg
科,section,section,Abschnitt
看,see,voir,sehen
形,shape,forme,Form
小,small,petit,klein
歌,song,chanson,Lied
统,system,système,System
这,this,ce,dies
时,time,temps,Zeit
镇,town,ville,Stadt
二,two,deux,zwei
种,type,genre,Art
村,village,village,Dorf
你,you,tu,du
