en,zh,zh_to_en_prob,en_to_zh_prob
▁Chen,陈,0.71728516,0.94873047
▁D,丁,0.18310547,0.14123535
▁English,英,0.6948242,0.99365234
▁Germany,德,0.30419922,0.99560547
▁I,我,0.7426758,0.96484375
▁Li,李,0.49853516,0.9667969
▁Tang,唐,0.6503906,0.96777344
▁add,加,0.42041016,0.76660156
▁again,再,0.82373047,0.4741211
▁alive,活,0.296875,0.7866211
▁all,全,0.31689453,0.6948242
▁already,已,0.21228027,0.8125
▁also,也,0.2866211,0.5307617
▁and,和,0.63378906,0.52246094
▁army,军,0.5913086,0.88964844
▁as,如,0.32373047,0.37329102
▁back,后,0.30029297,0.6591797
▁ball,球,0.8754883,0.98339844
▁base,基,0.3232422,0.91845703
▁beautiful,美,0.546875,0.9399414
▁because,因,0.6855469,0.87841797
▁before,前,0.27685547,0.5649414
▁belong,属,0.2644043,0.61328125
▁benefit,利,0.24108887,0.52978516
▁best,最,0.4572754,0.9560547
▁between,间,0.23486328,0.6923828
▁big,大,0.6894531,0.9897461
▁body,身,0.7626953,0.6230469
▁book,书,0.8544922,0.95214844
▁border,边,0.2836914,0.75878906
▁boundary,界,0.39746094,0.5029297
▁bridge,桥,0.9404297,0.9663086
▁bright,明,0.5629883,0.7089844
▁build,建,0.40795898,0.85546875
▁business,商,0.33642578,0.35375977
▁by,以,0.21582031,0.07171631
▁can,可,0.4074707,0.76904297
▁candidate,候,0.26342773,0.85302734
▁cave,洞,0.69384766,0.77734375
▁change,变,0.6611328,0.7504883
▁chapter,章,0.40649414,0.8339844
▁character,字,0.5600586,0.5415039
▁chemical,化,0.17419434,0.97509766
▁choose,选,0.5175781,0.9165039
▁city,城,0.7949219,0.9589844
▁clear,清,0.359375,0.68115234
▁cloth,布,0.57421875,0.75927734
▁cloud,云,0.8613281,0.88916016
▁come,来,0.57910156,0.8466797
▁container,容,0.15612793,0.8222656
▁control,控,0.4440918,0.8979492
▁corner,角,0.23669434,0.8535156
▁country,国,0.74072266,0.95410156
▁county,县,0.8051758,0.9736328
▁create,创,0.515625,0.8544922
▁culture,文,0.115600586,0.96875
▁dance,舞,0.8540039,0.7133789
▁day,日,0.7910156,0.71484375
▁death,死,0.44091797,0.97216797
▁deep,深,0.8911133,0.96875
▁degree,度,0.64941406,0.54248047
▁delete,删,0.6699219,0.9511719
▁department,部,0.19787598,0.60791016
▁disappear,消,0.095214844,0.88427734
▁district,区,0.4794922,0.85595703
▁division,分,0.20458984,0.4189453
▁door,门,0.82910156,0.98095703
▁dot,点,0.4831543,0.9770508
▁down,下,0.3515625,0.83691406
▁earth,土,0.66503906,0.6567383
▁east,东,0.86279297,0.95458984
▁edit,编,0.21704102,0.5102539
▁effect,效,0.22216797,0.77246094
▁eight,八,0.9140625,0.9838867
▁electric,电,0.8076172,0.98535156
▁employee,员,0.26171875,0.79541016
▁empty,空,0.41210938,0.9716797
▁equal,等,0.3515625,0.60058594
▁every,每,0.5136719,0.9472656
▁example,例,0.7714844,0.875
▁exchange,交,0.14648438,0.39257812
▁exhibition,展,0.16381836,0.7402344
▁experience,经,0.062469482,0.89746094
▁face,面,0.7402344,0.546875
▁faith,信,0.21972656,0.9863281
▁family,家,0.4206543,0.97998047
▁female,女,0.14318848,0.9550781
▁festival,节,0.39208984,0.8989258
▁field,田,0.6894531,0.81640625
▁finger,指,0.63378906,0.74902344
▁finish,完,0.41625977,0.43286133
▁fire,火,0.9458008,0.9926758
▁five,五,0.9199219,0.9785156
▁flat,平,0.43066406,0.9160156
▁flow,流,0.50097656,0.81396484
▁flower,花,0.9301758,0.9824219
▁food,食,0.35351562,0.9042969
▁foot,足,0.49853516,0.28466797
▁forest,森,0.78808594,0.82373047
▁four,四,0.91796875,0.98876953
▁from,从,0.60302734,0.8925781
▁fruit,果,0.46264648,0.3310547
▁get,得,0.28344727,0.64404297
▁give,给,0.44335938,0.61035156
▁go,去,0.33276367,0.6928711
▁god,神,0.7944336,0.89746094
▁gold,金,0.81152344,0.67626953
▁good,好,0.72558594,0.9897461
▁grass,草,0.9267578,0.90722656
▁group,群,0.53027344,0.60791016
▁guard,守,0.23486328,0.36914062
▁guest,客,0.69189453,0.8701172
▁hand,手,0.9165039,0.9892578
▁have,有,0.46606445,0.84277344
▁he,他,0.671875,0.9453125
▁head,头,0.7890625,0.96435547
▁health,健,0.74316406,0.90185547
▁heart,心,0.70996094,0.98046875
▁heavy,重,0.7495117,0.9091797
▁high,高,0.6113281,0.9560547
▁hit,击,0.38110352,0.7109375
▁hope,希,0.22497559,0.8276367
▁horse,马,0.9194336,0.9458008
▁house,房,0.52441406,0.66015625
▁hundred,百,0.7944336,0.96533203
▁husband,夫,0.82128906,0.5644531
▁in,在,0.25878906,0.9370117
▁inside,内,0.5883789,0.78466797
▁is,是,0.61816406,0.98095703
▁join,合,0.07647705,0.16296387
▁judge,判,0.45092773,0.61083984
▁king,王,0.77197266,0.85791016
▁know,知,0.66015625,0.9785156
▁lake,湖,0.89404297,0.96435547
▁language,语,0.51171875,0.9814453
▁law,法,0.69677734,0.9628906
▁left,左,0.95947266,0.9921875
▁life,生,0.19091797,0.43847656
▁light,光,0.8569336,0.8095703
▁limit,限,0.65527344,0.87841797
▁line,线,0.78466797,0.8051758
▁long,长,0.84033203,0.9941406
▁lose,失,0.3552246,0.5239258
▁loyal,忠,0.55322266,0.9375
▁machine,机,0.5986328,0.91015625
▁magic,魔,0.39941406,0.8769531
▁main,主,0.19995117,0.8574219
▁man,男,0.96484375,0.9746094
▁many,多,0.61865234,0.7973633
▁mark,标,0.24975586,0.3881836
▁meaning,意,0.32763672,0.73095703
▁meeting,会,0.17456055,0.6645508
