en,ru,en_to_ru_prob,ru_to_en_prob
▁D,▁Д,0.6171875,0.27734375
▁English,▁англий,0.9121094,0.8510742
▁Germany,▁Герма,0.9921875,0.8457031
▁I,▁я,0.8876953,0.8334961
▁all,▁все,0.8027344,0.7832031
▁already,▁уже,0.9140625,0.9223633
▁and,▁и,0.98046875,0.7871094
▁army,▁ар,0.4729004,0.15673828
▁base,▁основа,0.5449219,0.3540039
▁best,▁луч,0.90527344,0.79003906
▁between,▁между,0.96435547,0.78222656
▁big,▁боль,0.9736328,0.55810547
▁book,▁кни,0.98291016,0.8334961
▁build,▁строи,0.66552734,0.41064453
▁building,▁зда,0.52783203,0.49536133
▁character,▁харак,0.58496094,0.3256836
▁city,▁город,0.98583984,0.6660156
▁cloud,▁обла,0.7895508,0.15209961
▁control,▁контро,0.8496094,0.80810547
▁county,▁уез,0.09307861,0.3161621
▁create,▁созда,0.97802734,0.5048828
▁culture,▁куль,0.99072266,0.56152344
▁dance,▁тан,0.9189453,0.43432617
▁day,▁день,0.99560547,0.97558594
▁death,▁смер,0.9897461,0.7084961
▁district,▁район,0.7128906,0.50341797
▁earth,▁зем,0.9423828,0.68408203
▁east,▁восто,0.81396484,0.6982422
▁edge,▁край,0.41137695,0.72216797
▁electric,▁элект,0.98291016,0.6826172
▁employee,▁сотруд,0.51171875,0.23876953
▁family,▁сем,0.98095703,0.36132812
▁field,▁поле,0.89160156,0.9477539
▁five,▁пя,0.9355469,0.8979492
▁four,▁четы,0.8833008,0.94091797
▁from,▁из,0.34277344,0.4086914
▁get,▁получи,0.33447266,0.57373047
▁gold,▁золо,0.98046875,0.83203125
▁group,▁груп,0.97558594,0.8203125
▁hand,▁ру,0.92529297,0.36279297
▁he,▁он,0.97314453,0.93066406
▁head,▁голов,0.52441406,0.94189453
▁heavy,▁тя,0.94873047,0.064819336
▁high,▁высо,0.95751953,0.7182617
▁horse,▁ло,0.9169922,0.10235596
▁hundred,▁сто,0.66015625,0.7421875
▁in,▁в,0.93066406,0.65234375
▁king,▁цар,0.77197266,0.5776367
▁know,▁зна,0.9609375,0.37158203
▁language,▁язы,0.9785156,0.5541992
▁life,▁жи,0.8227539,0.30493164
▁light,▁свет,0.9614258,0.9819336
▁man,▁муж,0.9682617,0.96533203
▁many,▁много,0.72802734,0.57373047
▁meeting,▁встре,0.4338379,0.4206543
▁method,▁мето,0.5703125,0.6479492
▁middle,▁сред,0.20263672,0.31713867
▁month,▁меся,0.82373047,0.6767578
▁moon,▁лу,0.8442383,0.49951172
▁mother,▁ма,0.8930664,0.41577148
▁move,▁дви,0.7182617,0.34643555
▁near,▁бли,0.49365234,0.52246094
▁new,▁нов,0.7783203,0.83154297
▁night,▁но,0.8647461,0.50390625
▁north,▁север,0.84716797,0.88183594
▁not,▁не,0.9682617,0.625
▁official,▁официаль,0.2770996,0.8823242
▁often,▁часто,0.9580078,0.91503906
▁old,▁ста,0.9790039,0.32080078
▁one,▁один,0.8027344,0.98095703
▁only,▁только,0.8955078,0.94433594
▁open,▁откры,0.96728516,0.7524414
▁or,▁или,0.8432617,0.8823242
▁other,▁друго,0.73876953,0.66308594
▁outside,▁вне,0.32226562,0.5708008
▁people,▁люди,0.35131836,0.85009766
▁project,▁проек,0.7597656,0.80371094
▁province,▁пр,0.38745117,0.4206543
▁public,▁публи,0.60839844,0.49780273
▁question,▁вопро,0.9848633,0.65625
▁representative,▁представи,0.9111328,0.31958008
▁research,▁исследова,0.92089844,0.39013672
▁right,▁прав,0.72314453,0.9003906
▁river,▁ре,0.8178711,0.17907715
▁road,▁доро,0.94628906,0.6147461
▁school,▁шко,0.36035156,0.87841797
▁science,▁нау,0.9555664,0.61865234
▁see,▁виде,0.36669922,0.24816895
▁self,▁само,0.8535156,0.5859375
▁six,▁ше,0.94921875,0.72021484
▁so,▁так,0.90625,0.7470703
▁some,▁некоторы,0.3244629,0.9350586
▁song,▁пес,0.97021484,0.43310547
▁source,▁исто,0.9736328,0.3515625
▁special,▁осо,0.66748047,0.33618164
▁station,▁стан,0.5053711,0.35351562
▁straight,▁пря,0.9746094,0.67578125
▁street,▁ули,0.94189453,0.5366211
▁study,▁изу,0.76660156,0.24926758
▁success,▁успе,0.5703125,0.625
▁support,▁поддер,0.88964844,0.59277344
▁symbol,▁сим,0.5605469,0.13183594
▁system,▁система,0.90527344,0.97021484
▁tea,▁ча,0.9868164,0.23754883
▁teach,▁учи,0.6870117,0.41210938
▁ten,▁деся,0.8935547,0.8823242
▁this,▁это,0.6098633,0.65283203
▁three,▁три,0.82714844,0.63671875
▁time,▁время,0.99072266,0.96875
▁two,▁два,0.82421875,0.9794922
▁use,▁использова,0.765625,0.7583008
▁village,▁деревня,0.72216797,0.9741211
▁water,▁во,0.95214844,0.18798828
▁west,▁запад,0.77001953,0.8515625
▁when,▁когда,0.9589844,0.9658203
▁white,▁бе,0.93652344,0.15734863
▁woman,▁женщи,0.5932617,0.8222656
▁work,▁работа,0.71875,0.8222656
▁write,▁писа,0.5883789,0.53466797
▁year,▁год,0.96972656,0.9580078
▁you,▁ты,0.75146484,0.92578125
