zh,en
的,of
大,big
中,middle
一,one
人,person
子,child
日,sun
山,mountain
文,literature
本,book
数,number
国,country
新,new
田,field
道,road
村,village
用,use
天,sky
镇,town
不,not
学,learn
有,have
上,up
会,meeting
小,small
行,walk
三,three
市,city
王,king
区,area
年,year
生,life
成,become
定,decide
个,individual
和,and
在,at
方,direction
高,high
地,earth
月,moon
公,public
出,out
法,law
名,name
下,down
社,society
为,for
川,river
之,of
字,character
海,sea
東,east
明,bright
时,time
南,south
西,west
平,flat
式,style
家,home
城,city
美,beautiful
件,piece
部,part
女,woman
以,by
太,too
前,front
金,gold
野,wild
北,north
加,add
原,origin
置,place
安,peace
我,I
京,capital
可,can
取,take
县,county
二,two
理,reason
自,self
信,believe
代,replace
要,want
化,change
木,wood
水,water
島,island
正,correct
内,inside
作,make
合,combine
回,return
所,place
事,matter
表,table
分,divide
入,enter
全,whole
里,inside
郎,man
州,state
者,person
通,through
都,capital
江,river
到,arrive
对,correct
使,use
世,world
果,fruit
十,ten
来,come
面,face
这,this
街,street
石,stone
能,ability
空,empty
后,after
元,origin
河,river
町,town
花,flower
类,type
物,thing
版,edition
动,move
如,like
真,true
号,number
林,forest
書,book
民,people
口,mouth
示,show
图,map
戦,battle
光,light
白,white
心,heart
路,road
最,most
手,hand
型,type
建,build
主,main
集,collect
目,eye
度,degree
長,long
星,star
五,five
重,heavy
于,at
发,hair
史,history
國,country
你,you
駅,station
多,many
士,scholar
四,four
司,department
次,next
立,stand
点,point
音,sound
器,device
井,well
存,exist
当,should
性,nature
也,also
位,position
值,value
古,ancient
界,boundary
語,language
愛,love
時,time
东,east
同,same
保,protect
青,blue
体,body
清,clear
将,will
族,tribe
政,politics
间,between
松,pine
始,begin
息,breath
少,few
教,teach
获,obtain
列,list
开,open
科,section
春,spring
台,platform
工,work
知,know
八,eight
場,place
画,draw
百,hundred
記,record
得,obtain
关,close
标,mark
外,outside
間,between
校,school
制,system
力,power
門,door
好,good
指,finger
色,color
返,return
馬,horse
请,please
風,wind
接,connect
更,more
程,process
郡,county
利,benefit
周,week
谷,valley
期,period
初,first
福,fortune
片,piece
動,move
过,pass
特,special
长,long
英,hero
其,its
流,flow
除,remove
直,direct
千,thousand
館,building
朝,morning
单,single
格,pattern
德,virtue
歌,song
进,enter
限,limit
夫,husband
園,garden
土,soil
放,release
码,code
等,wait
系,system
華,Chinese
常,often
否,no
見,see
源,source
实,real
博,extensive
解,solve
男,male
無,none
查,check
条,strip
後,after
他,he
网,net
户,household
命,life
就,just
君,you
夏,summer
言,word
先,before
典,code
组,group
改,change
华,Chinese
与,and
由,from
學,learn
消,disappear
符,symbol
录,record
已,already
陽,sun
容,contain
提,lift
六,six
形,shape
伊,he
火,fire
佐,assistant
结,tie
九,nine
雄,male
而,and
张,open
向,towards
选,choose
堂,hall
久,long
无,none
那,that
線,line
务,service
基,base
属,belong
配,match
軍,army
完,complete
研,research
注,pour
失,lose
应,should
友,friend
章,chapter
求,seek
模,model
需,need
此,this
夜,night
或,or
橋,bridge
根,root
品,product
良,good
则,then
開,open
被,by
株,stock
记,remember
會,meeting
转,turn
比,compare
造,create
没,not
现,appear
七,seven
商,business
机,machine
阳,sun
站,stand
及,and
術,art
认,recognize
创,create
岡,hill
任,responsibility
布,cloth
