en,ru,en_to_ru_prob,ru_to_en_prob
▁straight,▁пря,0.88623047,0.46044922
▁know,▁зна,0.8618164,0.33740234
▁people,▁люди,0.35131836,0.85009766
▁seven,▁сем,0.68896484,0.35791016
▁question,▁вопро,0.8466797,0.6352539
▁system,▁система,0.29638672,0.9033203
▁month,▁меся,0.82373047,0.6767578
▁symbol,▁сим,0.5605469,0.13183594
▁from,▁из,0.34277344,0.4086914
▁source,▁исто,0.6855469,0.15209961
▁character,▁харак,0.3022461,0.3095703
▁other,▁друго,0.4362793,0.46191406
▁and,▁и,0.9404297,0.51953125
▁support,▁поддер,0.49316406,0.5917969
▁book,▁кни,0.81396484,0.7871094
▁near,▁бли,0.35131836,0.2709961
▁king,▁цар,0.3984375,0.5776367
▁method,▁мето,0.5703125,0.6479492
▁meeting,▁встре,0.4338379,0.4206543
▁field,▁поле,0.5371094,0.8647461
▁horse,▁ло,0.59521484,0.05593872
▁you,▁ты,0.75146484,0.80908203
▁this,▁это,0.37109375,0.56152344
▁research,▁исследова,0.5644531,0.2915039
▁only,▁только,0.76220703,0.88671875
▁Germany,▁Герма,0.8378906,0.74658203
▁earth,▁зем,0.8354492,0.49145508
▁mother,▁ма,0.8930664,0.41577148
▁he,▁он,0.9199219,0.7763672
▁electric,▁элект,0.81396484,0.6826172
▁in,▁в,0.8066406,0.35131836
▁success,▁успе,0.5703125,0.625
▁special,▁осо,0.4025879,0.13671875
▁east,▁восто,0.4621582,0.56640625
▁best,▁луч,0.56884766,0.5859375
▁water,▁во,0.95214844,0.18798828
▁province,▁пр,0.38745117,0.4206543
▁four,▁четы,0.52197266,0.28979492
▁one,▁один,0.46606445,0.7890625
▁self,▁само,0.5566406,0.35986328
▁right,▁прав,0.58154297,0.7416992
▁light,▁свет,0.7973633,0.8574219
▁middle,▁сред,0.20263672,0.31713867
▁write,▁писа,0.41723633,0.5136719
▁building,▁зда,0.52783203,0.49536133
▁all,▁все,0.59716797,0.5288086
▁gold,▁золо,0.6845703,0.7558594
▁language,▁язы,0.86816406,0.5541992
▁project,▁проек,0.7597656,0.80371094
▁five,▁пя,0.3137207,0.09460449
▁between,▁между,0.8359375,0.74072266
▁hand,▁ру,0.80615234,0.12597656
▁station,▁стан,0.5053711,0.35351562
▁time,▁время,0.7504883,0.87109375
▁control,▁контро,0.4494629,0.65234375
▁high,▁высо,0.71777344,0.4819336
▁army,▁ар,0.4729004,0.15673828
▁death,▁смер,0.6904297,0.6933594
▁woman,▁женщи,0.5932617,0.8222656
▁life,▁жи,0.8227539,0.30493164
▁night,▁но,0.8647461,0.50390625
▁year,▁год,0.70410156,0.88964844
▁day,▁день,0.62597656,0.70410156
▁district,▁район,0.21655273,0.50341797
▁I,▁я,0.76660156,0.73095703
▁six,▁ше,0.70654297,0.23876953
▁street,▁ули,0.53564453,0.5366211
▁county,▁уез,0.09307861,0.3161621
▁already,▁уже,0.76220703,0.70996094
▁three,▁три,0.82714844,0.31689453
▁west,▁запад,0.36669922,0.7373047
▁create,▁созда,0.8466797,0.26123047
▁often,▁часто,0.83496094,0.7988281
▁big,▁боль,0.83447266,0.28930664
▁road,▁доро,0.71533203,0.5917969
▁new,▁нов,0.6123047,0.5888672
▁work,▁работа,0.71875,0.8222656
▁hundred,▁сто,0.3803711,0.6611328
▁ten,▁деся,0.44213867,0.6489258
▁science,▁нау,0.70947266,0.50927734
▁two,▁два,0.69970703,0.7817383
▁or,▁или,0.72021484,0.69433594
▁use,▁использова,0.29882812,0.6123047
▁man,▁муж,0.48901367,0.5126953
▁move,▁дви,0.37524414,0.16040039
▁group,▁груп,0.44702148,0.71875
▁dance,▁тан,0.6689453,0.24157715
▁school,▁шко,0.36035156,0.87841797
▁city,▁город,0.68115234,0.47998047
▁river,▁ре,0.8178711,0.17907715
▁English,▁англий,0.5888672,0.8510742
▁village,▁деревня,0.11859131,0.8623047
▁white,▁бе,0.93652344,0.15734863
